fold,lr,epochs,accuracy,f1_macro,auprc_macro,auprc_weighted
1,5e-05,3,0.7563025210084033,0.3290450272142504,0.3870935923758624,0.7636959718064134
2,5e-05,3,0.773109243697479,0.48305717271234516,0.5198745504401573,0.8106442371025885
3,5e-05,3,0.7310924369747899,0.4018781642985465,0.5280638092754822,0.8148180718722288
4,5e-05,5,0.6722689075630253,0.4074301295160191,0.45087376949792735,0.7540955905594919
5,2e-05,5,0.8050847457627118,0.5201629691310297,0.5874818875602837,0.8687961841280638
